#Size Quantity
3 5
4 10
5 13
6 37
7 22
8 56
9 39
10 24
11 24
12 13
13 14
14 16
15 15
16 9
17 16
18 5
19 10
20 14
21 21
22 14
23 7
24 11
25 11
26 5
27 19
28 17
29 13
30 9
31 11
32 9
33 12
34 20
35 5
36 26
37 9
38 7
39 8
40 2
41 5
42 6
43 2
44 3
46 1
47 1
50 1
52 1
54 1
58 2
60 3
61 1
65 5
66 1
68 5
69 7
70 3
71 3
72 3
73 6
74 5
76 3
77 6
78 2
79 1
81 3
82 1
83 1
86 2
87 1
88 2
92 2
93 2
94 1
95 1
97 1
98 2
99 1
102 1
103 2
105 2
107 1
108 2
109 1
111 1
112 1
114 1
119 1
121 1
122 1
125 1
127 1
132 1
133 2
134 1
141 2
144 1
169 1
187 1
225 1
235 1
346 1
363 1
373 1
