# evalue %pos coverage querylength bitsocre alignlen %ident
0.0024 66.67 33 36 21.26 12 41.67
0.0024 66.67 33 36 21.26 12 41.67
0.0024 77.78 25 36 16.45 9 55.56
0.0024 77.78 25 36 16.45 9 55.56
0.020 66.67 25 36 13.08 9 33.33
0.020 66.67 25 36 13.08 9 33.33
0.045 40.74 75 36 19.82 27 22.22
0.045 40.74 75 36 19.82 27 22.22
0.084 63.64 30 36 10.68 11 36.36
0.084 63.64 30 36 10.68 11 36.36
0.084 66.67 25 36 10.68 9 44.44
0.084 66.67 25 36 10.68 9 44.44
0.11 80.00 45 11 14.70 5 80.00
0.15 50.00 16 36 9.72 6 50.00
0.15 50.00 16 36 9.72 6 50.00
0.26 100.00 33 9 13.19 3 100.00
0.46 58.33 38 31 16.45 12 50.00
0.47 100.00 100 4 12.34 4 50.00
0.49 100.00 100 4 12.34 4 50.00
0.54 100.00 62 8 12.40 5 60.00
0.59 100.00 50 6 12.23 3 66.67
0.60 80.00 45 11 12.24 5 60.00
0.60 80.00 45 11 12.24 5 60.00
0.61 80.00 45 11 12.24 5 60.00
0.61 80.00 45 11 12.24 5 60.00
0.64 100.00 27 11 11.75 3 100.00
0.64 50.00 40 40 17.01 16 37.50
0.64 50.00 40 40 17.01 16 37.50
0.64 80.00 12 40 12.50 5 40.00
0.64 80.00 12 40 12.50 5 40.00
0.64 83.33 54 11 11.26 6 50.00
0.72 100.00 11 36 12.60 4 50.00
0.72 100.00 11 36 12.60 4 50.00
0.81 100.00 50 4 11.83 2 100.00
0.81 100.00 50 4 11.83 2 100.00
0.81 80.00 83 6 11.76 5 60.00
0.86 72.22 46 39 16.18 18 11.11
1.1 75.00 100 8 11.32 8 37.50
1.3 100.00 75 4 10.83 3 66.67
1.4 100.00 19 31 14.95 6 66.67
1.4 50.00 70 31 14.95 22 22.73
1.4 66.67 29 31 14.95 9 33.33
1.4 75.00 42 28 14.43 12 25.00
1.4 83.33 21 28 12.87 6 33.33
1.5 100.00 27 11 11.75 3 100.00
1.5 100.00 27 11 9.30 3 66.67
1.5 100.00 7 40 12.00 3 66.67
1.5 100.00 7 40 12.00 3 66.67
1.5 63.16 47 40 16.51 19 26.32
1.5 63.16 47 40 16.51 19 26.32
1.5 68.75 39 41 15.59 16 25.00
1.5 77.78 21 41 13.18 9 44.44
1.6 75.00 100 4 10.83 4 75.00
1.8 100.00 50 6 10.64 3 66.67
1.8 60.00 45 11 11.26 5 60.00
1.8 66.67 27 33 14.82 9 66.67
1.8 75.00 44 9 11.63 4 75.00
1.9 100.00 7 40 10.50 3 33.33
1.9 100.00 7 40 10.50 3 33.33
1.9 60.00 45 11 11.26 5 60.00
1.9 80.00 7 65 11.08 5 40.00
1.9 83.33 54 11 11.26 6 50.00
1.9 85.71 10 65 19.18 7 57.14
2.0 100.00 7 40 10.12 3 100.00
2.0 87.50 20 40 17.72 8 62.50
2.1 58.33 36 33 13.79 12 41.67
2.1 75.00 24 33 13.28 8 12.50
2.2 100.00 33 9 11.63 3 100.00
2.2 100.00 33 9 9.05 3 66.67
2.3 100.00 27 11 8.81 3 66.67
2.3 100.00 36 11 11.26 4 50.00
2.3 75.00 36 11 8.81 4 50.00
2.4 100.00 18 11 8.32 2 100.00
2.5 100.00 50 4 9.82 2 100.00
2.5 100.00 50 4 9.82 2 100.00
2.5 75.00 11 36 10.20 4 50.00
2.5 75.00 11 36 10.20 4 50.00
2.5 75.00 57 7 10.06 4 75.00
2.6 100.00 50 4 9.82 2 100.00
2.6 62.50 28 28 13.91 8 50.00
2.6 72.73 40 27 14.70 11 36.36
2.6 72.73 40 27 14.70 11 36.36
2.6 83.33 22 27 11.14 6 16.67
2.7 70.00 34 29 13.98 10 40.00
2.7 83.33 18 33 12.76 6 33.33
2.8 100.00 11 27 9.61 3 100.00
